file_idx,smiles,dft_barrier,split,am1_barrier,rdkit__hbond_acceptors,rdkit__hbond_donors,rdkit__amide_bonds,rdkit__tpsa,rdkit__mol_wt,rdkit__logp,rdkit__molar_refractivity,rdkit__rotatable_bonds,rdkit__ring_count,rdkit__fraction_csp3,rdkit__heavy_atom_count,rdkit__peoe_charge_mean,rdkit__peoe_charge_std,rdkit__peoe_charge_min,rdkit__peoe_charge_max,rdkit__crippen_logp_mean,rdkit__crippen_logp_std,rdkit__crippen_logp_min,rdkit__crippen_logp_max,rdkit__crippen_mr_mean,rdkit__crippen_mr_std,rdkit__crippen_mr_min,rdkit__crippen_mr_max,rdkit__estate_mean,rdkit__estate_std,rdkit__estate_min,rdkit__estate_max,gs__rdkit3d_radius_of_gyration,gs__rdkit3d_asphericity,gs__rdkit3d_eccentricity,gs__rdkit3d_inertial_shape_factor,gs__rdkit3d_npr1,gs__rdkit3d_npr2,gs__rdkit3d_pmi1,gs__rdkit3d_pmi2,gs__rdkit3d_pmi3,gs__rdkit3d_spherocity_index,gs__rdkit3d_labute_asa,gs__rdkit3d_molecular_volume,gs__rdkit3d_freesasa_total,gs__morfeus_sasa_area,gs__morfeus_sasa_volume,gs__morfeus_surface_area,gs__morfeus_surface_volume,gs__morfeus_pint,gs__HOMO_eV,gs__LUMO_eV,gs__chemical_potential_eV,gs__hardness_eV,gs__softness_per_eV,gs__electrophilicity_eV,gs__geometry_scf_energy_eV,gs__lowest_vibrational_frequency_cm-1,gs__lowest_ir_intensity,gs__spe_energy_eV,gs__mulliken_mean,gs__mulliken_std,gs__mulliken_min,gs__mulliken_max,gs__mulliken_abs_mean,gs__mulliken_abs_max,gs__mulliken_C_mean,gs__mulliken_C_std,gs__mulliken_C_min,gs__mulliken_C_max,gs__mulliken_C_abs_mean,gs__mulliken_C_abs_max,gs__mulliken_H_mean,gs__mulliken_H_std,gs__mulliken_H_min,gs__mulliken_H_max,gs__mulliken_H_abs_mean,gs__mulliken_H_abs_max,gs__mulliken_N_mean,gs__mulliken_N_std,gs__mulliken_N_min,gs__mulliken_N_max,gs__mulliken_N_abs_mean,gs__mulliken_N_abs_max,gs__mulliken_O_mean,gs__mulliken_O_std,gs__mulliken_O_min,gs__mulliken_O_max,gs__mulliken_O_abs_mean,gs__mulliken_O_abs_max,ts__rdkit3d_radius_of_gyration,ts__rdkit3d_asphericity,ts__rdkit3d_eccentricity,ts__rdkit3d_inertial_shape_factor,ts__rdkit3d_npr1,ts__rdkit3d_npr2,ts__rdkit3d_pmi1,ts__rdkit3d_pmi2,ts__rdkit3d_pmi3,ts__rdkit3d_spherocity_index,ts__rdkit3d_labute_asa,ts__rdkit3d_molecular_volume,ts__rdkit3d_freesasa_total,ts__morfeus_sasa_area,ts__morfeus_sasa_volume,ts__morfeus_surface_area,ts__morfeus_surface_volume,ts__morfeus_pint,ts__HOMO_eV,ts__LUMO_eV,ts__chemical_potential_eV,ts__hardness_eV,ts__softness_per_eV,ts__electrophilicity_eV,ts__geometry_scf_energy_eV,ts__lowest_vibrational_frequency_cm-1,ts__lowest_ir_intensity,ts__spe_energy_eV,ts__mulliken_mean,ts__mulliken_std,ts__mulliken_min,ts__mulliken_max,ts__mulliken_abs_mean,ts__mulliken_abs_max,ts__mulliken_C_mean,ts__mulliken_C_std,ts__mulliken_C_min,ts__mulliken_C_max,ts__mulliken_C_abs_mean,ts__mulliken_C_abs_max,ts__mulliken_H_mean,ts__mulliken_H_std,ts__mulliken_H_min,ts__mulliken_H_max,ts__mulliken_H_abs_mean,ts__mulliken_H_abs_max,ts__mulliken_N_mean,ts__mulliken_N_std,ts__mulliken_N_min,ts__mulliken_N_max,ts__mulliken_N_abs_mean,ts__mulliken_N_abs_max,ts__mulliken_O_mean,ts__mulliken_O_std,ts__mulliken_O_min,ts__mulliken_O_max,ts__mulliken_O_abs_mean,ts__mulliken_O_abs_max
1,C(=C(C(=O)C)C)(C)C,18.4326829195,train,27.6182163228,1.0,0.0,0.0,17.07,112.172,1.9317,34.72899999999999,1.0,0.0,0.5714285714285714,8.0,-6.938893903907229e-19,0.08092204677697061,-0.2948865136592333,0.15493781559456943,0.096585,0.10650907602171751,-0.2783,0.1551,1.7364500000000003,1.1814025340670298,0.0,5.007,3.85,4.953459279919806,-3.468634259259261,11.66585648148148,2.0283718658042167,0.21640930169621567,0.9087178350637236,0.0043359442299767325,0.4174109440792123,0.7653380919102624,176.5101328146855,323.63772480671304,422.86896239402165,0.2653510548615826,76.26222449774528,126.29600000000003,314.03269990181286,304.1594658139758,434.6318361507878,198.81442536208817,178.95388636482465,15.456364454499926,-9.549835583297499,0.444634031717,-4.55260077579025,4.997234807507249,0.10005533445193723,2.07376425384189,-1.9848974983577194,39.727,0.0081,-2.05744409224263,3.469446951953614e-18,0.15361626192106095,-0.290745,0.268889,0.13591319999999998,0.290745,-0.114214,0.16743738297132368,-0.266768,0.268889,0.19103942857142858,0.268889,0.09085358333333333,0.008231925488186562,0.08137,0.104282,0.09085358333333333,0.104282,,,,,,,-0.290745,0.0,-0.290745,-0.290745,0.290745,0.290745,2.575717162263698,0.3484840928895492,0.9519159782633373,0.0029193439511270517,0.3063592177933504,0.9185061313620636,314.6275830251047,943.2958021818592,1026.9891184972655,0.4889954638864865,103.69985172543754,171.69600000000005,365.1933406201669,354.41675773268855,542.8794096519399,237.25757808338668,233.0591474176577,16.48648759934278,-3.6321756764739996,3.9412970106419998,0.15456066708400007,3.7867363435579997,0.1320398239107934,0.003154299328244901,-3.1204410721033655,-383.2129,0.118,-4.399791072053664,-0.03846153846153846,0.25996610502439776,-0.508782,0.557771,0.20174930769230764,0.557771,-0.15090562500000002,0.2543621928490639,-0.485408,0.282093,0.271091875,0.485408,0.07744464285714285,0.02722961446295229,0.033487,0.125994,0.07744464285714285,0.125994,0.557771,0.0,0.557771,0.557771,0.557771,0.557771,-0.4782503333333333,0.03739816753383629,-0.508782,-0.425584,0.4782503333333333,0.508782
2,C(=C(C=O)C)(C)C,15.6389624227,test,24.2660956009,1.0,0.0,0.0,17.07,98.145,1.5415999999999999,30.111999999999988,1.0,0.0,0.5,7.0,-1.6326809185664067e-18,0.09049602849922223,-0.29827005888282043,0.1451730003081265,0.09068235294117646,0.11443934553390442,-0.2783,0.1551,1.771294117647059,1.245762122732902,0.0,5.007,3.8676470588235294,4.7629024432326705,-3.27212962962963,10.874189814814814,1.958317661514116,0.335246481464715,0.9461090576438396,0.005856402426663601,0.3238481913555885,0.7040345895003649,120.21622460488156,261.3458484566612,371.2116597028728,0.1705461781712982,65.92185449082844,109.54400000000003,281.4728945046145,276.58948874919946,385.61461788081374,172.60987469613576,155.10550640188717,15.042727341552315,-9.6875251916505,-0.11864163881800001,-4.90308341523425,4.784441776416251,0.1045053996611745,2.512333528150102,-1.7268860286021785,41.4426,0.1249,-1.7957515897864629,3.2653618371328133e-18,0.1465805779185673,-0.291441,0.216622,0.1303584705882353,0.291441,-0.09999733333333333,0.15292728711783984,-0.20689,0.216622,0.17220466666666667,0.216622,0.0891425,0.00735308460783636,0.078887,0.106069,0.0891425,0.106069,,,,,,,-0.291441,0.0,-0.291441,-0.291441,0.291441,0.291441,2.492819861033924,0.35613948056357736,0.9538159232637274,0.0034235007143385296,0.30039171847533214,0.9132745466893327,266.76627899164635,811.0438388736825,888.0613631615577,0.5736993630501355,93.35948171852064,156.01600000000005,343.2563132139808,334.4361247653894,503.24584281465417,217.8602720556991,211.1514575422522,16.127341683492222,-3.697483000594,3.7924507344185,0.04748386691224993,3.7449668675062497,0.13351252966703733,0.00030103305272252863,-3.0102973558261263,-390.2261,0.064,-4.2732843047330284,-0.04347826086956521,0.26717326031642064,-0.505722,0.556261,0.20628573913043474,0.556261,-0.14543357142857144,0.25535379066858654,-0.481035,0.240007,0.26423614285714286,0.481035,0.07501800000000002,0.029529109330173393,0.030766,0.123782,0.07501800000000002,0.123782,0.556261,0.0,0.556261,0.556261,0.556261,0.556261,-0.47948066666666667,0.034790358150243623,-0.505722,-0.430317,0.47948066666666667,0.505722
3,C(=C(C(=O)N)C)(C)C,24.6868778295,train,31.3981517369,1.0,1.0,1.0,43.09,113.16,0.8280000000000001,33.242399999999996,1.0,0.0,0.5,8.0,9.13012355777267e-18,0.13252845102499833,-0.3658885841826493,0.24376400816322216,0.04357894736842105,0.27542751568950397,-1.019,0.2142,1.7496000000000003,1.201139339390555,0.0,5.007,3.8289473684210527,4.777906711432024,-3.3655092592592606,11.457523148148148,2.0095148978490895,0.22367294645844654,0.9112187413624226,0.00430497613268353,0.41192281484506577,0.7497314836681234,174.1546202721394,316.9749213657903,422.78459457906746,0.2590474688412246,73.54240322427056,121.52000000000002,306.25400785751697,296.10888035034156,419.76053914910267,190.3111914808694,171.4951479165483,15.40081871233457,-9.6586811234975,0.44925996717550004,-4.604710578161,5.0539705453365,0.09893211595017504,2.097693221440813,-2.0493579008234017,46.0463,0.041,-2.1666957519126075,1.0526315789045966e-07,0.1982397666659704,-0.437457,0.340962,0.1668795789473684,0.437457,-0.07281766666666667,0.18945964119363845,-0.193321,0.340962,0.18647166666666667,0.340962,0.11312681818181819,0.052597625843098454,0.081557,0.227233,0.11312681818181819,0.227233,-0.437457,0.0,-0.437457,-0.437457,0.437457,0.437457,-0.37003,0.0,-0.37003,-0.37003,0.37003,0.37003,2.3823123541697133,0.15662062377859684,0.8760177640118822,0.002100587397715919,0.48227883753656675,0.8528653753555634,406.0128020776139,717.9959680831599,841.8631929849705,0.6607523683901301,100.98003045196279,166.58400000000003,351.3834239801815,341.89645121095543,525.1692734003208,231.15385314572606,225.91020341624522,16.55249459358475,-3.345367678047,4.2596702157270006,0.45715126884000035,3.802518946887,0.13149178399474745,0.027480110621554355,-3.0424364393837404,-489.1734,0.1007,-4.350966238943492,-0.039999999999999994,0.2775133659698574,-0.497019,0.56118,0.22078527999999997,0.56118,-0.12112228571428571,0.2783050334803339,-0.446731,0.355015,0.27659114285714287,0.446731,0.08880730769230769,0.04557284863462625,0.040942,0.183801,0.08880730769230769,0.183801,0.07301350000000001,0.4881665,-0.415153,0.56118,0.4881665,0.56118,-0.48422199999999993,0.00924978770927564,-0.497019,-0.475475,0.48422199999999993,0.497019
4,C(=C(C(=O)NC)C)(C)C,26.5783112387,train,32.6356193092,1.0,1.0,1.0,29.1,127.18699999999998,1.0887,38.114700000000006,1.0,0.0,0.5714285714285714,9.0,5.046468293750712e-18,0.1185342382064655,-0.3554007847630363,0.24608897039300082,0.049486363636363634,0.20556378637443667,-0.7096,0.2142,1.7324863636363643,1.1510653817207204,0.0,5.007,3.8181818181818175,4.921205667895535,-3.528009259259261,11.931898148148147,2.2080900799484553,0.28614148477519163,0.9362625938719124,0.003949859407215782,0.35130094693330766,0.799967902323286,202.5307282739908,461.1945491969026,576.5163175391042,0.21354682828070676,83.8827732311874,138.94400000000005,338.6549665144526,326.9096300085963,471.9991083293272,217.5095998629587,196.00165852996386,15.738454500999143,-9.639633153962501,0.4634098874015,-4.5881116332805005,5.051521520682001,0.09898007916088132,2.0836067186151292,-1.9019679690541453,39.1112,0.002,-2.001525206864076,-4.545454545459091e-08,0.1757548153993039,-0.386824,0.341345,0.14610122727272729,0.386824,-0.07336,0.17557603904291724,-0.193587,0.341345,0.17088714285714288,0.341345,0.09736676923076923,0.03893010406663529,0.061181,0.22381,0.09736676923076923,0.22381,-0.386824,0.0,-0.386824,-0.386824,0.386824,0.386824,-0.365425,0.0,-0.365425,-0.365425,0.365425,0.365425,2.449944249101191,0.13332479240751657,0.8568575811270386,0.0015684131276460073,0.5155531841285828,0.7886786576783963,502.85134941589314,769.2477507232014,975.3627072749846,0.5740233971026656,111.32040045887967,183.72000000000006,376.84774754574886,365.6373615782587,569.6046643539107,251.653053143713,249.4354561448392,16.545106722731468,-3.167949447521,4.3339572969135,0.58300392469625,3.75095337221725,0.13329944427020213,0.04530762481996864,-2.875232136361175,-537.5953,0.2755,-4.156864689521904,-0.03571421428571429,0.2600082314488685,-0.489191,0.559941,0.1974247857142857,0.559941,-0.112316875,0.2676941688874813,-0.475466,0.380655,0.252878125,0.475466,0.07611746666666666,0.047425301240113966,0.031261,0.220785,0.07611746666666666,0.220785,0.090981,0.46896000000000004,-0.377979,0.559941,0.46896000000000004,0.559941,-0.4750623333333333,0.01051789587111203,-0.489191,-0.46397,0.4750623333333333,0.489191
5,C(=C(C(=O)Nc1ccccc1)C)(C)C,23.009388128,train,29.930246213,1.0,1.0,1.0,29.1,189.25799999999998,2.9814000000000016,59.11970000000004,2.0,1.0,0.25,14.0,1.0288704754069339e-17,0.10513065171753444,-0.3222878695653346,0.2507278730864252,0.10280689655172416,0.16292650750872095,-0.5188,0.4619,2.0386103448275863,1.2628190725091957,0.0,5.007,3.5431034482758617,4.888840575974083,-3.595386314247923,12.721656746031744,3.0263367317102863,0.541398378231197,0.9822789994257809,0.0029500551283802995,0.18742456425742768,0.9127033349416237,309.3851793348469,1506.6162009190127,1650.7184133553928,0.20808164874428298,123.70623630980765,193.33600000000004,424.18513228765295,412.52128799178104,625.154289620768,281.57485464229563,267.48867348342117,17.606895075459878,-8.7019288251395,0.199731566267,-4.2510986294362505,4.45083019570325,0.11233859258047878,2.030165021195483,-0.5278137538881308,16.7926,0.0193,-0.6317729304744226,3.44827586245525e-08,0.16829337387830706,-0.342923,0.351748,0.14956879310344828,0.351748,-0.08921966666666668,0.15200795413800627,-0.19728,0.351748,0.16087666666666664,0.351748,0.11592039999999998,0.03967710932481515,0.083271,0.231178,0.11592039999999998,0.231178,-0.325246,0.0,-0.325246,-0.325246,0.325246,0.325246,-0.342923,0.0,-0.342923,-0.342923,0.342923,0.342923,3.221643821178898,0.40675053461726957,0.9646063434832299,0.001334152049670103,0.263694145008783,0.8580360837189618,643.132155687299,2092.6918804408174,2438.9322548890036,0.29146877940702937,151.14386353750012,238.71200000000005,458.38218917419715,449.9291610625861,721.4816029558937,316.21708685863825,319.16796664716736,18.248110834429994,-3.5339425764435006,3.4136682545225003,-0.06013716096050015,3.4738054154830005,0.14393437173293128,0.0005205355072955728,-1.7261134291643876,-527.6404,0.0267,-2.9241268853156384,-0.028571399999999993,0.24605635967885778,-0.484767,0.561318,0.19716168571428574,0.561318,-0.11622469230769229,0.22969560960587168,-0.476384,0.405602,0.2260800769230769,0.476384,0.09852658823529412,0.052624039529096035,0.037584,0.25673,0.09852658823529412,0.25673,0.1139455,0.44737249999999995,-0.333427,0.561318,0.44737249999999995,0.561318,-0.4639736666666667,0.02545151166870491,-0.484767,-0.428133,0.4639736666666667,0.484767
6,C(=C(C(=O)N(C)C)C)(C)C,31.1710380191,train,32.8789203441,1.0,0.0,1.0,20.310000000000002,141.214,1.4309,42.74200000000002,1.0,0.0,0.625,10.0,4.440892098500626e-18,0.10635961197562246,-0.3450585243935433,0.24840164822681396,0.057236,0.147047515803566,-0.3187,0.1551,1.70968,1.1094313036867132,0.0,5.007,3.81,5.079245412211982,-3.6905092592592617,12.406273148148149,2.2625536639697543,0.23264085043505933,0.9137580028778242,0.0037454417515057764,0.4062589225810681,0.9383133004480946,250.5213971278195,578.6151291851686,616.6545107149702,0.38902863484734135,94.22314323810429,155.10400000000004,358.2131300385795,345.9097543171556,514.6275762412014,237.8122257116287,219.57129407556496,16.119238683051343,-9.4447996370045,0.6576991766585,-4.393550230173,5.0512494068315,0.0989854112774121,1.9107434686304277,-1.6192022314710572,41.0195,0.0168,-1.714445542804347,5.551115123125783e-19,0.15734264738334613,-0.363168,0.347193,0.12962792,0.363168,-0.07149475,0.1662381318581495,-0.191232,0.347193,0.15829300000000002,0.347193,0.08487706666666667,0.013485219654454608,0.06293,0.118765,0.08487706666666667,0.118765,-0.33803,0.0,-0.33803,-0.33803,0.33803,0.33803,-0.363168,0.0,-0.363168,-0.363168,0.363168,0.363168,2.7883592818427916,0.3365529789266951,0.9462810871967499,0.002251959931848781,0.32334517781116995,0.9865028707283734,438.0641310604886,1336.5021423225744,1354.7878896041964,0.5118930068472334,121.66077046579656,201.02400000000006,404.3587457195847,392.99696679896914,617.5795713204155,272.3568897724788,273.27414072686105,16.801214613549945,-3.511357126852,4.102932637839,0.2957877554935002,3.8071448823455,0.13133201268977207,0.01149028983708938,-2.605516408433486,-476.7526,0.0292,-3.85737266513424,-0.032258129032258075,0.2462333388617707,-0.491948,0.5525,0.18185464516129032,0.5525,-0.10630344444444445,0.25940270171432556,-0.465221,0.389868,0.23621122222222224,0.465221,0.0695094705882353,0.02973609710360486,0.033057,0.11777,0.0695094705882353,0.11777,0.09911149999999999,0.45338849999999997,-0.354277,0.5525,0.45338849999999997,0.5525,-0.474385,0.02192904598928098,-0.491948,-0.443468,0.474385,0.491948
7,C(=C(C(=O)OC)C)(C)C,18.9449571812,train,24.116616079,2.0,0.0,0.0,26.3,128.171,1.5156999999999998,36.06399999999999,1.0,0.0,0.5714285714285714,9.0,3.304235192336775e-19,0.14238413929339103,-0.46566064172805843,0.33286259100303367,0.07217619047619048,0.12523985713046373,-0.2783,0.1551,1.7173333333333336,1.1706068159122933,0.0,5.007,3.833333333333334,4.8168458175158735,-3.4717592592592608,11.64023148148148,2.182327720600009,0.30580528391677697,0.9411618868988866,0.003891007472004421,0.33795606615198887,0.7638258691539254,196.30542337674993,443.6764883011196,580.8607775913262,0.17289094682627856,81.74297792615964,135.16000000000003,333.2720711400144,322.08951416509746,462.62731898701475,210.61883206319874,189.58378846821077,15.44481851890651,-9.7343287739365,0.22558238206450001,-4.754373195936,4.9799555780005,0.10040250202407523,2.269504630331506,-3.979898234138611,25.9305,0.0665,-4.0554966183377665,-4.761904761380846e-08,0.16204007363420533,-0.353002,0.34336,0.13659328571428575,0.353002,-0.06595642857142857,0.1774486670173797,-0.195674,0.34336,0.16405928571428574,0.34336,0.09090575000000001,0.006328065319471662,0.082696,0.102266,0.09090575000000001,0.102266,,,,,,,-0.3145875,0.03841449999999999,-0.353002,-0.276173,0.3145875,0.353002,2.775973209845024,0.4272230596739344,0.9670243487346418,0.002794444335101306,0.2546839393333269,0.9404308457918608,336.5359023184005,1242.6725614700194,1321.3864337081218,0.3997180880197516,109.18060515385191,181.00800000000004,386.3751045341767,375.57684545247713,574.0707998777989,251.66282629056522,244.62391709072804,16.417978888277958,-3.7714979679300003,3.8321793565915003,0.03034069433075004,3.8018386622607503,0.13151531256791332,0.00012106743792286561,-5.244916021746784,-337.0092,0.0456,-6.525226758095958,-0.03703707407407409,0.26274378589909053,-0.512113,0.55951,0.20272670370370371,0.55951,-0.11237275000000001,0.26718454042279,-0.500594,0.37167,0.25269450000000004,0.500594,0.07971521428571429,0.026667532582252716,0.037047,0.126138,0.07971521428571429,0.126138,0.55951,0.0,0.55951,0.55951,0.55951,0.55951,-0.4441355,0.08343439805769562,-0.512113,-0.305894,0.4441355,0.512113
8,C(=C(C(=O)c1ccccc1)C)(C)C,18.8991282817,train,27.2726688384,1.0,0.0,0.0,17.07,174.24299999999997,3.225600000000002,54.82050000000004,2.0,1.0,0.25,13.0,-1.2849803525754126e-18,0.0799411948745858,-0.28899399031829953,0.18815498409306505,0.11946666666666671,0.07947329390710091,-0.2783,0.1581,2.0303888888888895,1.2376292924103318,0.2215,5.007,3.5462962962962954,4.928692040952769,-3.5296491165910826,12.79796910430839,2.688635126330082,0.3841772000152981,0.9599097609319737,0.0028030412502649225,0.2803092058201465,0.9055224335483703,323.04998489151274,1043.5940111949833,1152.4772579134979,0.33545445478188823,116.08568757636552,181.39200000000005,398.03031070006557,385.8108795630601,584.1302971690112,262.283944513091,249.8166365124522,17.59535504416793,-9.531331841463501,-0.2908897061845,-4.911110773824,4.620221067639501,0.10821992988648334,2.6101574664578466,-0.4819307003849876,18.2404,0.0403,-0.5564265362507209,-7.407407407517614e-08,0.14657164024334363,-0.292098,0.310892,0.13314592592592592,0.310892,-0.09954008333333332,0.13182045963067743,-0.192645,0.310892,0.15135541666666666,0.310892,0.10618407142857143,0.02599073100567169,0.079195,0.154706,0.10618407142857143,0.154706,,,,,,,-0.292098,0.0,-0.292098,-0.292098,0.292098,0.292098,3.2554027545710684,0.48044247065594414,0.9749947908121105,0.001835328219292718,0.222227716294005,0.9376611994893684,510.89564778267055,2155.6583215750748,2298.973576755659,0.3372941730623548,143.52331480405792,227.42400000000006,440.43964860525193,434.82798814313713,692.2057939802554,303.2299256272767,303.89650832010875,18.264939852049388,-3.7946276452224996,2.86807998427,-0.4632738304762498,3.33135381474625,0.15008913126751897,0.032212525888740656,-1.6542478459571828,-367.6044,0.1332,-2.906421789197326,-0.03030299999999999,0.23793421304879953,-0.507307,0.559471,0.1875702121212121,0.559471,-0.12841961538461538,0.2034478124500193,-0.49366,0.31907,0.20736653846153846,0.49366,0.0951426875,0.0321681947945458,0.043075,0.149877,0.0951426875,0.149877,0.559471,0.0,0.559471,0.559471,0.559471,0.559471,-0.470766,0.0475651869963737,-0.507307,-0.403585,0.470766,0.507307
9,C(=C(C(=O)C)Cl)(C)C,13.0712833887,train,21.5947620465,1.0,0.0,0.0,17.07,132.59,2.1081000000000003,34.907999999999994,1.0,0.0,0.5,8.0,-3.673532066774415e-18,0.09155841980527857,-0.2935224330663798,0.17055310610811675,0.12400588235294119,0.18170735188787437,-0.2783,0.6895,2.0534117647058823,1.5563865790320228,0.0,5.853,3.815359477124183,4.679588627556745,-3.1817129629629637,11.247037037037035,2.0352667055411713,0.2422562481198781,0.8850447226354438,0.002181414349729367,0.4655060031139776,0.5526919237434389,253.3640267893202,300.81728363723624,544.2766045860957,0.13540285459161167,76.59014937388227,124.20800000000003,303.9206456903402,296.2598603718216,422.99744434868654,187.52100360471078,172.26395803283373,16.017638938499843,-9.75800267893,-0.25442645021750004,-5.0062145645737495,4.75178811435625,0.1052235470031554,2.637131924173101,-1.982787292811045,9.156,0.001,-2.033258573204011,-3.2653618371328133e-18,0.1644201220657546,-0.305655,0.27211,0.14227,0.305655,-0.0993965,0.18679647913683137,-0.261037,0.27211,0.1927998333333333,0.27211,0.10323166666666667,0.009856411055190873,0.083101,0.113644,0.10323166666666667,0.113644,,,,,,,-0.305655,0.0,-0.305655,-0.305655,0.305655,0.305655,2.5919321712824,0.29567981255833586,0.939253281538058,0.0021197554478040114,0.34322481425443224,0.8561478405493937,403.88991165765435,1007.4722494541224,1176.7503248126202,0.525931272586892,104.02777660157454,171.15200000000004,367.2096961992997,356.11655137317155,544.2010046299067,235.8707903833001,229.57532984435107,16.959025714147206,-3.8395264305550003,3.53203777949,-0.15374432553250017,3.6857821050225,0.13565641857088231,0.003206553854775293,-3.3159971338121514,-224.3866,0.0282,-4.613299370237728,-0.04347830434782609,0.27752546738905975,-0.534149,0.564243,0.2255414347826087,0.564243,-0.15376357142857142,0.2706053642081858,-0.534149,0.289555,0.28946414285714284,0.534149,0.09586645454545453,0.02078857442907975,0.064766,0.126835,0.09586645454545453,0.126835,0.564243,0.0,0.564243,0.564243,0.564243,0.564243,-0.47963700000000004,0.0626217420123927,-0.524599,-0.39108,0.47963700000000004,0.524599
10,C(=C(C=O)Cl)(C)C,10.8029357864,train,18.8541656384,1.0,0.0,0.0,17.07,118.563,1.718,30.29099999999999,1.0,0.0,0.4,7.0,-9.912705577010326e-19,0.1035961927359366,-0.29690832912172466,0.1608415953758456,0.1227142857142857,0.20015518928051398,-0.2783,0.6895,2.1636428571428565,1.6652295254555687,0.0,5.853,3.82936507936508,4.4650002523177115,-3.0009490740740743,10.45537037037037,1.9438744863738124,0.25674380480844955,0.9071621174277819,0.003240682736757911,0.4207812884432283,0.6035646745579032,186.24614736638173,267.14970083091043,442.61984190276087,0.17135305327569467,66.24977936696541,108.04000000000002,283.05652883293857,276.65901275106955,384.1006959937589,170.62871101129264,151.57868492215584,15.808471406179912,-9.8165071567875,-0.352115322547,-5.08431123966725,4.73219591712025,0.10565919263635899,2.7313134572773277,-1.6438962979623133,25.9717,0.2172,-1.7359841678387766,-7.142857143260795e-08,0.14689833112903256,-0.259297,0.221057,0.12781864285714287,0.259297,-0.0828754,0.16509264814957691,-0.204406,0.221057,0.1712982,0.221057,0.09565971428571429,0.005088640759133051,0.087743,0.103208,0.09565971428571429,0.103208,,,,,,,-0.259297,0.0,-0.259297,-0.259297,0.259297,0.259297,2.4940932971335115,0.2696472165172681,0.9311746985829412,0.0022318581373735645,0.36457328579994525,0.8255005321834368,369.8714171658241,837.4970509423858,1014.5324179588575,0.637335958176497,93.68740659465766,155.03200000000004,341.3698932985255,333.0262836079318,501.0791024503222,215.6715932123256,208.12918395483274,16.808036917994094,-3.8207505748705004,3.4335325656089997,-0.19360900463075037,3.62714157023975,0.13784959597453775,0.005167215829355158,-3.107200838275686,-163.9587,0.3272,-4.425722509987692,-0.050000100000000006,0.2903320100303961,-0.55212,0.566182,0.2356484,0.566182,-0.14858666666666667,0.28003083701303727,-0.55212,0.241685,0.2886396666666667,0.55212,0.09668244444444446,0.025883513358940843,0.059671,0.12723,0.09668244444444446,0.12723,0.566182,0.0,0.566182,0.566182,0.566182,0.566182,-0.4813436666666666,0.07512705196901814,-0.54021,-0.375313,0.4813436666666666,0.54021
