evaluation,n_samples,mae,rmse,r2,kernel,C,epsilon,gamma,n_splits,random_state,calculate_test_metrics
cv_fold_1,179,1.35407941352398,1.8291090391588651,0.8763434621820252,rbf,5.0,0.1,0.01,5,0,False
cv_fold_2,178,1.3924171974014072,1.895275669134247,0.8908261635661625,rbf,5.0,0.1,0.01,5,0,False
cv_fold_3,178,1.2474711830622813,1.70662711629796,0.8981306119588051,rbf,5.0,0.1,0.01,5,0,False
cv_fold_4,178,1.3176412036895877,1.7333043710952645,0.9016268271186443,rbf,5.0,0.1,0.01,5,0,False
cv_fold_5,178,1.2950459376211747,1.8456566512677077,0.8841596865599107,rbf,5.0,0.1,0.01,5,0,False
cv_mean,891,1.321330987059686,1.8019945693908088,0.8902173502771096,rbf,5.0,0.1,0.01,5,0,False
cv_standard_deviation,891,0.055419982200630886,0.07930357792254873,0.010275536317475426,rbf,5.0,0.1,0.01,5,0,False
